set NODES := 1 2 3 4 5 6 7 8 9 10;
set S1 := 1 8 10;
set S2 := 6 7 9;
set S3 := 2 3 4 5;
param: EDGES: c :=
       1 2   0
       1 3   0
       1 4   0
       1 5   0
       1 6   0
       1 7   0
       1 8   0
       1 9   0
       1 10   0
       2 3   5.000000
       2 4   4.123106
       2 5   2.236068
       2 6   8.246211
       2 7   8.062258
       2 8   12.041595
       2 9   11.180340
       2 10   14.866069
       3 4   1.414214
       3 5   4.472136
       3 6   10.630146
       3 7   10.000000
       3 8   8.944272
       3 9   13.038405
       3 10   12.083046
       4 5   3.162278
       4 6   9.219544
       4 7   8.602325
       4 8   8.602325
       4 9   11.661904
       4 10   11.661904
       5 6   6.708204
       5 7   6.324555
       5 8   10.000000
       5 9   9.486833
       5 10   12.727922
       6 7   1.000000
       6 8   11.000000
       6 9   3.000000
       6 10   12.369317
       7 8   10.000000
       7 9   3.162278
       7 10   11.401754
       8 9   11.401754
       8 10   3.162278
       9 10   12.000000
;
param Node_Pos :=
1  1   -1
1  2   -1
2  1    2
2  2    3
3  1    2
3  2    8
4  1    3
4  2    7
5  1    4
5  2    4
6  1   10
6  2    1
7  1   10
7  2    2
8  1   10
8  2   12
9  1   13
9  2    1
10 1   13
10 2   13
;

